Fecha campo;Profundidad referencia;Temperatura;Conductividad (mS/cm);Salinidad (ppt);TDS (g/L);pH;ORP (mV);Turbidez (NTU);OD%;OD(mg/L);BGA-PC (cell/mL); Chloa (µg/L);year
11/01/2021;;6.52;6.86;3.76;;;;;;;6284;;2021
11/01/2021;;7.73;7.33;4.04;;9.22;324.7;64.5;62.6;7.21;;;2021
02/02/2021;182;15.8;3.57;1.89;;8.27;;;;;;;2021
02/03/2021;197;17.34;5.78;3.15;;8.42;79.1;157.8;69.2;6.52;;;2021
02/03/2021;197;16.33;5.28;2.86;;;;;;;671;3.7;2021
13/04/2021;27;22.2;5.52;2.99;;;;;;;1325;24.3;2021
13/04/2021;27;23.14;5.92;3.22;;9.77;317;19.7;175.9;14.83;;;2021
03/05/2021;190;17.81;5.97;3.26;;;;;;;21500;20.6;2021
03/05/2021;190;19.32;6.57;3.61;;9.06;180;36.6;59;5.31;;;2021
01/06/2021;180;23.77;9.42;5.29;;8.87;;36.5;121.2;9.93;;;2021
01/06/2021;180;23.6;9.11;5.13;;;;;;;16042;79.1;2021
07/07/2021;157;24.4;13.65;7.88;;10.52;;383.9;256.9;20.52;;;2021
07/07/2021;157;24.37;13.53;7.8;;;;;;;281036;76.8;2021
04/08/2021;141;21.5;20.28;12.13;;8.67;;301.6;2.9;0.23;;;2021
04/08/2021;141;21.24;20.05;11.99;;;;;;;281018;56.2;2021
01/09/2021;126;23.39;32.475;20.29;;9.19;;203;147;11.17;;;2021
01/09/2021;126;24.16;31.23;19.46;;;;;186.5;23.3;;;2021
05/10/2021;126;19.11;29.03;17.98;;;;;;;280280;47.5;2021
05/10/2021;126;19.55;29.07;18;;9.65;;132;160.1;13.12;;;2021
02/11/2021;122;21.05;28.41;17.55;;9.59;;140.7;216.3;17.44;;;2021
02/11/2021;122;20.63;27.82;17.16;;;;;;;280695;52.5;2021
01/12/2021;122;13.6;28.4;17.54;;9.81;;58.8;147.4;13.8;;;2021
01/12/2021;122;13.22;27.53;16.95;;;;;;;68017;213;2021
